SIX/ARP290071876CHF,CADELPLATA N
SIX/US88160R1014USD,Tesla
SIX/US8873173038USD,Time Warner
SIX/CH0048265513USD,TRANSOCEAN LTD
SIX/US90184L1026USD,Twitter
SIX/DE000A0WMNK9CHF,VAPIANO SE
SIX/US92343V1044USD,Verizon Comm
SIX/US92826C8394USD,Visa
SIX/US9311421039USD,Wal-Mart Stores
SIX/US9497461015USD,Wells Fargo
SIX/US9884981013USD,Yum Brands
SIX/DE000WAF3001CHF,Siltronic AG
SIX/DE000HLAG475CHF,Hapag Lloyd
SIX/DE0005493365CHF,Hypoport
SIX/DE000A12UKK6CHF,Rocket Internet SE
SIX/US00507V1098CHF,Activision Blizzard
SIX/CH0382620554CHF,RESIDENTIA ANR
SIX/DE000A1K0235CHF,Suess MicroTec AG
SIX/LU0775917882CHF,Grand City Properties SA
SIX/DE0005102008CHF,BASLER AG
SIX/DE0008019001CHF,Deutsche Pfandbriefbank AG
SIX/DE000A0JL9W6CHF,Verbio Vereinigte Bioenergie A
SIX/DE000A0DNAY5CHF,bet-at-homecom
SIX/DE0005407100CHF,CENIT AG
SIX/DE000A2GS401CHF,Software AG O.N.
SIX/AT0000A0E9W5CHF,S&T AG
SIX/DE000A0DPRE6CHF,Sixt Leasing SE
SIX/DE000A0KEXC7CHF,Vectron Systems AG
SIX/DE000A1X3W00CHF,MediGene
SIX/DE0005103006CHF,Adva Optical Networking SE
SIX/DE0005488100CHF,Isra Vision AG
SIX/DE0005201602CHF,Berentzen Gruppe AG
SIX/DE000TCAG172CHF,Tele Columbus
SIX/DE000A0TGJ55CHF,Varta AG
SIX/DE000A12DM80CHF,Scout24
SIX/CH0382671664CHF,CS REF GREEN PROP ANR
SIX/CH0385769952CHF,EVOLVA ANR
SIX/DE0006062144CHF,Covestro AG
SIX/DE0008051004CHF,Wüstenrot & Württembergische
SIX/US02376R1023CHF,American Airlines
SIX/DE000A0JKHC9CHF,Nanogate AG
SIX/DE000A0Z2XN6CHF,RIB Software
SIX/DE000A2E4LE9CHF,Voltabox AG
SIX/US5770811025CHF,Mattel
SIX/DE000VTG9999CHF,VTG
SIX/DE000SHA0159CHF,Schaeffler AG
SIX/NL0011375019CHF,Steinhoff Int. Holding
SIX/CH0361000331CHF,SWC(CH) RE SwCom ANR
SIX/CH0122527648CHF,POENINA HOLDING N
SIX/DE000A1TNV91CHF,Bitcoin Group SE
SIX/CH0390603998CHF,REALSTONE ANR
SIX/CH0386890344CHF,FIR ANR
SIX/CH0385998353CHF,UBS SWISS ANFOS ANR
SIX/US61166W1018CHF,Monsanto
SIX/DE0005220909CHF,Nexus AG
SIX/CH0395719070CHF,SCHRODER IMMOPLUS ANR
SIX/DE000A13SX22CHF,Hella KGaA Hueck & Co
SIX/DE0007193500CHF,Koenig & Bauer
SIX/US09857L1089USD,Booking Holdings
SIX/CH0386687765CHF,LINDT PS 2. LINIE
SIX/CH0401214371CHF,MOBILEZONE ANR
SIX/CH0404879824CHF,SF Sustainable Property ANR
SIX/DE000SHL1006CHF,Siemens Healthineers AG
SIX/CH0404880129CHF,ASMALLWORLD N
SIX/CH0406705126CHF,SENSIRION N
SIX/US26210C1045CHF,Dropbox Inc.
SIX/CH0386200239CHF,MEDARTIS N
SIX/DE000JST4000CHF,JOST Werke
SIX/CH0386687757CHF,LINDT N 2. LINIE
SIX/DE000A2DAM03CHF,Aumann AG
SIX/LU1778762911CHF,SPOTIFY TECH. S.A.
